Gender,Ethnicity,Child's First Name
FEMALE,HISPANIC,KATHERINE
FEMALE,HISPANIC,CHLOE
FEMALE,HISPANIC,JENNIFER
FEMALE,HISPANIC,MARIA
FEMALE,HISPANIC,KHLOE
FEMALE,HISPANIC,ALEXA
FEMALE,HISPANIC,AVA
FEMALE,HISPANIC,SARAH
FEMALE,HISPANIC,VALERIE
FEMALE,HISPANIC,LAYLA
FEMALE,HISPANIC,JAYLEEN
FEMALE,HISPANIC,MICHELLE
FEMALE,HISPANIC,DIANA
FEMALE,HISPANIC,JADE
FEMALE,HISPANIC,MELISSA
FEMALE,HISPANIC,NATALIA
FEMALE,HISPANIC,STEPHANIE
FEMALE,HISPANIC,EMELY
FEMALE,HISPANIC,GIANNA
FEMALE,HISPANIC,MAYA
FEMALE,HISPANIC,ALEXANDRA
FEMALE,HISPANIC,EVA
FEMALE,HISPANIC,JESSICA
FEMALE,HISPANIC,JOCELYN
FEMALE,HISPANIC,NATALIE
FEMALE,HISPANIC,VALERIA
FEMALE,HISPANIC,CHELSEA
FEMALE,HISPANIC,VANESSA
FEMALE,HISPANIC,JASMINE
FEMALE,HISPANIC,KAREN
FEMALE,HISPANIC,KELLY
FEMALE,HISPANIC,ANGELICA
FEMALE,HISPANIC,DANNA
FEMALE,HISPANIC,GISELLE
FEMALE,HISPANIC,SAVANNAH
FEMALE,HISPANIC,KYLIE
FEMALE,HISPANIC,SERENITY
FEMALE,HISPANIC,GRACE
FEMALE,HISPANIC,KAMILA
FEMALE,HISPANIC,KIARA
FEMALE,HISPANIC,DESTINY
FEMALE,HISPANIC,ELIANA
FEMALE,HISPANIC,JAYLA
FEMALE,HISPANIC,LEILANI
FEMALE,HISPANIC,MARIAH
FEMALE,HISPANIC,AMELIA
FEMALE,HISPANIC,ANA
FEMALE,HISPANIC,MAKAYLA
FEMALE,HISPANIC,NEVAEH
FEMALE,HISPANIC,ALISON
FEMALE,HISPANIC,BRIANA
FEMALE,HISPANIC,ELLA
FEMALE,HISPANIC,KAITLYN
FEMALE,HISPANIC,AMAYA
FEMALE,HISPANIC,JACQUELINE
FEMALE,HISPANIC,JOSELYN
FEMALE,HISPANIC,LIZBETH
FEMALE,HISPANIC,AMANDA
FEMALE,HISPANIC,ANGELIQUE
FEMALE,HISPANIC,DAISY
FEMALE,HISPANIC,LAILA
FEMALE,HISPANIC,MYA
FEMALE,HISPANIC,SARA
FEMALE,HISPANIC,SCARLET
FEMALE,HISPANIC,DELILAH
FEMALE,HISPANIC,ISABEL
FEMALE,HISPANIC,LILIANA
FEMALE,HISPANIC,DANIELLA
FEMALE,HISPANIC,ITZEL
FEMALE,HISPANIC,KATE
FEMALE,HISPANIC,LONDON
FEMALE,HISPANIC,ZOEY
FEMALE,HISPANIC,ESMERALDA
FEMALE,HISPANIC,GUADALUPE
FEMALE,HISPANIC,LIA
FEMALE,HISPANIC,MIKAYLA
FEMALE,HISPANIC,NATHALIE
FEMALE,HISPANIC,ADRIANNA
FEMALE,HISPANIC,CRYSTAL
FEMALE,HISPANIC,KARLA
FEMALE,HISPANIC,LUZ
FEMALE,HISPANIC,RACHEL
FEMALE,HISPANIC,SABRINA
FEMALE,HISPANIC,AMBER
FEMALE,HISPANIC,AUBREY
FEMALE,HISPANIC,FAITH
FEMALE,HISPANIC,JAZMIN
FEMALE,HISPANIC,LUNA
FEMALE,HISPANIC,SARAI
FEMALE,HISPANIC,TIFFANY
FEMALE,HISPANIC,ALICIA
FEMALE,HISPANIC,BIANCA
FEMALE,HISPANIC,IZABELLA
FEMALE,HISPANIC,KATELYN
FEMALE,HISPANIC,MELODY
FEMALE,HISPANIC,JAYLENE
FEMALE,HISPANIC,JULIA
FEMALE,HISPANIC,NAOMI
FEMALE,HISPANIC,YARETZI
FEMALE,HISPANIC,ALIYAH
FEMALE,HISPANIC,BRITTANY
FEMALE,HISPANIC,DAYANA
FEMALE,HISPANIC,GIA
FEMALE,HISPANIC,JADA
FEMALE,HISPANIC,JULIANNA
FEMALE,HISPANIC,LAUREN
FEMALE,HISPANIC,LILY
FEMALE,HISPANIC,RIHANNA
FEMALE,HISPANIC,SKYLA
FEMALE,HISPANIC,AILEEN
FEMALE,HISPANIC,JASMIN
FEMALE,HISPANIC,JULIET
FEMALE,HISPANIC,KAILEY
FEMALE,HISPANIC,LEILA
FEMALE,HISPANIC,LUCIA
FEMALE,HISPANIC,NATHALY
FEMALE,HISPANIC,RUBY
FEMALE,HISPANIC,ANGELA
FEMALE,HISPANIC,DULCE
FEMALE,HISPANIC,KAYLEEN
FEMALE,HISPANIC,MILA
FEMALE,HISPANIC,ALLYSON
FEMALE,HISPANIC,ANGIE
FEMALE,HISPANIC,ISABELLE
FEMALE,HISPANIC,LIANA
FEMALE,HISPANIC,XIMENA
FEMALE,HISPANIC,DANA
FEMALE,HISPANIC,HANNAH
FEMALE,HISPANIC,HAYLEE
FEMALE,HISPANIC,KEILY
FEMALE,HISPANIC,MIAH
FEMALE,HISPANIC,MILEY
FEMALE,HISPANIC,NAYELI
FEMALE,HISPANIC,SIENNA
FEMALE,HISPANIC,ANALIA
FEMALE,HISPANIC,ARIEL
FEMALE,HISPANIC,BRENDA
FEMALE,HISPANIC,ELISA
FEMALE,HISPANIC,HEIDY
FEMALE,HISPANIC,JAZLYN
FEMALE,HISPANIC,JULIANA
FEMALE,HISPANIC,JULISSA
FEMALE,HISPANIC,LESLY
FEMALE,HISPANIC,MADELYN
FEMALE,HISPANIC,NYLA
FEMALE,HISPANIC,ROSELYN
FEMALE,HISPANIC,ALEJANDRA
FEMALE,HISPANIC,ALICE
FEMALE,HISPANIC,ALONDRA
FEMALE,HISPANIC,AURORA
FEMALE,HISPANIC,AYLIN
FEMALE,HISPANIC,BRYANNA
FEMALE,HISPANIC,DENISE
FEMALE,HISPANIC,ELENA
FEMALE,HISPANIC,HEAVEN
FEMALE,HISPANIC,HEIDI
FEMALE,HISPANIC,JULIETTE
FEMALE,HISPANIC,KAYLIE
FEMALE,HISPANIC,MADELINE
FEMALE,HISPANIC,SELENA
FEMALE,HISPANIC,SHIRLEY
FEMALE,HISPANIC,ALISSON
FEMALE,HISPANIC,ERIKA
FEMALE,HISPANIC,ESTRELLA
FEMALE,HISPANIC,HALEY
FEMALE,HISPANIC,JAZMINE
FEMALE,HISPANIC,LAURA
FEMALE,HISPANIC,MELANY
FEMALE,HISPANIC,MIKAELA
FEMALE,HISPANIC,NADIA
FEMALE,HISPANIC,PENELOPE
FEMALE,HISPANIC,VIOLET
FEMALE,HISPANIC,ANIYAH
FEMALE,HISPANIC,ARIELLA
FEMALE,HISPANIC,AYLEEN
FEMALE,HISPANIC,EILEEN
FEMALE,HISPANIC,ESTHER
FEMALE,HISPANIC,FERNANDA
FEMALE,HISPANIC,GABRIELLE
FEMALE,HISPANIC,GERALDINE
FEMALE,HISPANIC,HAYLEY
FEMALE,HISPANIC,HELEN
FEMALE,HISPANIC,ISIS
FEMALE,HISPANIC,JAYLIN
FEMALE,HISPANIC,KRYSTAL
FEMALE,HISPANIC,NATALY
FEMALE,HISPANIC,SHERLYN
FEMALE,HISPANIC,TAYLOR
FEMALE,HISPANIC,ALESSANDRA
FEMALE,HISPANIC,ANNA
FEMALE,HISPANIC,ANNABELLE
FEMALE,HISPANIC,APRIL
FEMALE,HISPANIC,ASHLY
FEMALE,HISPANIC,CINDY
